count,url
2048,https://www.cnn.com/sitemaps/article-2012-02.xml
2127,https://www.cnn.com/sitemaps/article-2012-04.xml
2029,https://www.cnn.com/sitemaps/article-2012-07.xml
2277,https://www.cnn.com/sitemaps/article-2012-01.xml
2198,https://www.cnn.com/sitemaps/article-2012-08.xml
2257,https://www.cnn.com/sitemaps/article-2012-05.xml
2243,https://www.cnn.com/sitemaps/article-2012-06.xml
2309,https://www.cnn.com/sitemaps/article-2012-03.xml
1793,https://www.cnn.com/sitemaps/article-2012-11.xml
1650,https://www.cnn.com/sitemaps/article-2012-12.xml
1698,https://www.cnn.com/sitemaps/article-2013-02.xml
1899,https://www.cnn.com/sitemaps/article-2012-09.xml
1989,https://www.cnn.com/sitemaps/article-2013-03.xml
1860,https://www.cnn.com/sitemaps/article-2013-04.xml
1881,https://www.cnn.com/sitemaps/article-2013-01.xml
2011,https://www.cnn.com/sitemaps/article-2012-10.xml
1761,https://www.cnn.com/sitemaps/article-2013-06.xml
1625,https://www.cnn.com/sitemaps/article-2013-09.xml
1527,https://www.cnn.com/sitemaps/article-2013-12.xml
1699,https://www.cnn.com/sitemaps/article-2013-08.xml
1592,https://www.cnn.com/sitemaps/article-2013-11.xml
1674,https://www.cnn.com/sitemaps/article-2013-07.xml
1960,https://www.cnn.com/sitemaps/article-2013-05.xml
1680,https://www.cnn.com/sitemaps/article-2013-10.xml
1298,https://www.cnn.com/sitemaps/article-2014-08.xml
1410,https://www.cnn.com/sitemaps/article-2014-06.xml
1437,https://www.cnn.com/sitemaps/article-2014-07.xml
1400,https://www.cnn.com/sitemaps/article-2014-03.xml
1399,https://www.cnn.com/sitemaps/article-2014-04.xml
1611,https://www.cnn.com/sitemaps/article-2014-01.xml
1591,https://www.cnn.com/sitemaps/article-2014-02.xml
1577,https://www.cnn.com/sitemaps/article-2014-05.xml
1656,https://www.cnn.com/sitemaps/article-2014-09.xml
1496,https://www.cnn.com/sitemaps/article-2014-11.xml
1849,https://www.cnn.com/sitemaps/article-2014-10.xml
1497,https://www.cnn.com/sitemaps/article-2014-12.xml
1731,https://www.cnn.com/sitemaps/article-2015-02.xml
1807,https://www.cnn.com/sitemaps/article-2015-03.xml
2026,https://www.cnn.com/sitemaps/article-2015-01.xml
1794,https://www.cnn.com/sitemaps/article-2015-05.xml
1868,https://www.cnn.com/sitemaps/article-2015-06.xml
1916,https://www.cnn.com/sitemaps/article-2015-04.xml
1957,https://www.cnn.com/sitemaps/article-2015-07.xml
2048,https://www.cnn.com/sitemaps/article-2015-08.xml
2050,https://www.cnn.com/sitemaps/article-2015-09.xml
2069,https://www.cnn.com/sitemaps/article-2015-10.xml
1802,https://www.cnn.com/sitemaps/article-2015-11.xml
1885,https://www.cnn.com/sitemaps/article-2015-12.xml
1949,https://www.cnn.com/sitemaps/article-2016-05.xml
1916,https://www.cnn.com/sitemaps/article-2016-06.xml
1913,https://www.cnn.com/sitemaps/article-2016-07.xml
2237,https://www.cnn.com/sitemaps/article-2016-01.xml
1836,https://www.cnn.com/sitemaps/article-2016-04.xml
2128,https://www.cnn.com/sitemaps/article-2016-03.xml
2201,https://www.cnn.com/sitemaps/article-2016-02.xml
1868,https://www.cnn.com/sitemaps/article-2016-08.xml
1881,https://www.cnn.com/sitemaps/article-2016-12.xml
2246,https://www.cnn.com/sitemaps/article-2016-09.xml
2058,https://www.cnn.com/sitemaps/article-2017-02.xml
2363,https://www.cnn.com/sitemaps/article-2016-10.xml
2435,https://www.cnn.com/sitemaps/article-2017-03.xml
2244,https://www.cnn.com/sitemaps/article-2016-11.xml
2243,https://www.cnn.com/sitemaps/article-2017-01.xml
2234,https://www.cnn.com/sitemaps/article-2017-04.xml
2463,https://www.cnn.com/sitemaps/article-2017-05.xml
2370,https://www.cnn.com/sitemaps/article-2017-07.xml
2508,https://www.cnn.com/sitemaps/article-2017-06.xml
2439,https://www.cnn.com/sitemaps/article-2017-08.xml
2155,https://www.cnn.com/sitemaps/article-2017-11.xml
2287,https://www.cnn.com/sitemaps/article-2017-09.xml
2234,https://www.cnn.com/sitemaps/article-2017-10.xml
2033,https://www.cnn.com/sitemaps/article-2017-12.xml
2456,https://www.cnn.com/sitemaps/article-2018-02.xml
2602,https://www.cnn.com/sitemaps/article-2018-01.xml
2569,https://www.cnn.com/sitemaps/article-2018-04.xml
2830,https://www.cnn.com/sitemaps/article-2018-03.xml
2481,https://www.cnn.com/sitemaps/article-2018-07.xml
2645,https://www.cnn.com/sitemaps/article-2018-05.xml
